연번,호선,시점역,종점역,역간거리(m)
177,6,증산,수색,"1,111 "
178,6,수색,월드컵경기장,800 
179,6,월드컵경기장,마포구청,802 
180,6,마포구청,망원,"1,026 "
181,6,망원,합정,802 
182,6,합정,상수,777 
183,6,상수,광흥창,855 
184,6,광흥창,대흥,997 
185,6,대흥,공덕,952 
186,6,공덕,효창공원,934 
187,6,효창공원,삼각지,"1,187 "
188,6,삼각지,녹사평,"1,140 "
189,6,녹사평,이태원,742 
190,6,이태원,한강진,959 
191,6,한강진,버티고개,"1,026 "
192,6,버티고개,약수,741 
193,6,약수,청구,806 
194,6,청구,신당,738 
195,6,신당,동묘앞,618 
196,6,동묘앞,창신,890 
197,6,창신,보문,779 
198,6,보문,안암,865 
199,6,안암,고려대,796 
200,6,고려대,월곡,"1,380 "
201,6,월곡,상월곡,837 
202,6,상월곡,돌곶이,829 
203,6,돌곶이,석계,"1,003 "
204,6,석계,태릉,758 
205,6,태릉,화랑대,888 
206,6,화랑대,봉화산,738 
207,7,장암,도봉산,"1,436 "
208,7,도봉산,수락산,"1,613 "
209,7,수락산,마 들,"1,421 "
210,7,마 들,노 원,"1,210 "
211,7,노 원,중 계,"1,104 "
212,7,중 계,하 계,984 
213,7,하 계,공 릉,"1,304 "
214,7,공 릉,태능입구,801 
215,7,태능입구,먹 골,899 
216,7,먹 골,중 화,900 
217,7,중 화,상 봉,"1,016 "
218,7,상 봉,면 목,800 
219,7,면 목,사가정,863 
220,7,사가정,용마산,830 
221,7,용마산,중 곡,887 
222,7,중 곡,군 자,"1,054 "
223,7,군 자,대공원,"1,111 "
224,7,대공원,건대입구,835 
225,7,건대입구,뚝섬유원지,"1,123 "
226,7,뚝섬유원지,청 담,"1,952 "
227,7,청 담,강남구청,"1,109 "
228,7,강남구청,학 동,897 
229,7,학 동,논 현,995 
230,7,논 현,반 포,845 
231,7,반 포,고속터미널,916 
232,7,고속터미널,내 방,"2,208 "
233,7,내 방,이 수,"1,041 "
234,7,이 수,남 성,"1,015 "
235,7,남 성,숭실대입구,"1,975 "
236,7,숭실대입구,상 도,898 
237,7,상 도,장승백이,933 
238,7,장승백이,신대방삼거리,"1,165 "
239,7,신대방삼거리,보라매,782 
240,7,보라매,신 풍,445 
241,7,신 풍,대 림,"1,825 "
242,7,대 림,남구로,"1,123 "
243,7,남구로,가산디지털,835 
244,7,가산디지털,철 산,"1,390 "
245,7,철 산,광명사거리,"1,236 "
246,7,광명사거리,천 왕,"1,721 "
247,7,천 왕,온 수,"1,489 "
248,7,온 수,까치울,"2,249 "
249,7,까치울,부천종합운동장,"1,161 "
250,7,부천종합운동장,춘의,960 
251,7,춘의,신중동,951 
252,7,신중동,부청시청,"1,150 "
253,7,부청시청,상동,935 
254,7,상동,삼산체육관,"1,079 "
255,7,삼산체육관,굴포천,848 
256,7,굴포천,부평구청,954 
257,8,암사,천호,"1,305 "
258,8,천호,강동구청,924 
259,8,강동구청,몽촌토성,"1,644 "
260,8,몽촌토성,잠실,771 
261,8,잠실,석촌,"1,237 "
262,8,석촌,송파,925 
263,8,송파,가락시장,795 
264,8,가락시장,문정,895 
265,8,문정,장지,850 
266,8,장지,복정,932 
267,8,복정,산성,"2,680 "
268,8,산성,남한산성,"1,293 "
269,8,남한산성,단대오거리,780 
270,8,단대오거리,신흥,835 
271,8,신흥,수진,853 
272,8,수진,모란,981 
,,,,
